Generation,Descendant,Birth Region,Death Region,count
7,Elizabeth,Australia & New Zealand,Alive,2
7,Elizabeth,UK & Ireland,Alive,5
7,George,North America,Alive,11
7,George,UK & Ireland,Alive,3
7,John,Africa,Alive,1
7,John,Europe,Alive,2
7,John,UK & Ireland,Alive,37
7,John,UK & Ireland,UK & Ireland,2
8,Elizabeth,UK & Ireland,Alive,1
8,George,North America,Alive,2
8,John,UK & Ireland,Alive,6
