Generation,Descendant,Birth Region,Death Region,count
6,John,India,Australia & New Zealand,1
6,John,India,Europe,1
6,John,India,UK & Ireland,2
6,John,North America,Alive,1
6,John,South East Asia,Alive,3
6,John,UK & Ireland,Alive,4
7,Amelia,Australia & New Zealand,Alive,3
7,Amelia,Australia & New Zealand,Australia & New Zealand,1
7,Amelia,North America,Alive,19
7,Amelia,UK & Ireland,Alive,1
7,Elizabeth,Australia & New Zealand,Alive,10
7,Elizabeth,North America,Alive,2
7,Elizabeth,UK & Ireland,Alive,8
7,George,North America,Alive,11
7,George,UK & Ireland,Alive,16
7,John,Africa,Alive,1
7,John,Europe,Alive,6
7,John,UK & Ireland,Alive,35
7,John,UK & Ireland,UK & Ireland,2
8,Amelia,Australia & New Zealand,Alive,2
8,Elizabeth,Australia & New Zealand,Alive,2
8,Elizabeth,UK & Ireland,Alive,1
8,George,North America,Alive,2
8,John,UK & Ireland,Alive,7
